,DATE,Profil,Région,Total énergie soutirée (Wh),Nb points soutirage
205,2022-04-08,RES1 (+ RES1WE),Hauts-de-France,8675468926.0,59293488
206,2022-04-08,RES11 (+ RES11WE),Centre-Val de Loire,2626707272.0,6860776
207,2022-04-08,RES11 (+ RES11WE),Hauts-de-France,3369218120.0,8881100
208,2022-04-08,RES2 (+ RES5),Centre-Val de Loire,13510844181.0,28847311
209,2022-04-08,RES2 (+ RES5),Hauts-de-France,22844204645.0,56283296
210,2022-04-08,RES2WE,Centre-Val de Loire,228060462.0,525696
211,2022-04-08,RES2WE,Hauts-de-France,512402896.0,1305904
212,2022-04-08,RES3,Centre-Val de Loire,211890097.0,431716
213,2022-04-08,RES3,Hauts-de-France,345798392.0,693896
214,2022-04-08,RES4,Centre-Val de Loire,421921764.0,990608
215,2022-04-08,RES4,Hauts-de-France,579271658.0,1303380
216,2022-04-09,ENT3 (+ ENT4 + ENT5),Centre-Val de Loire,71483564.0,42960
217,2022-04-09,ENT3 (+ ENT4 + ENT5),Hauts-de-France,85348596.0,41376
218,2022-04-09,PRO1 (+ PRO1WE),Centre-Val de Loire,1907301187.0,4812720
219,2022-04-09,PRO1 (+ PRO1WE),Hauts-de-France,4096100895.0,9261932
220,2022-04-09,PRO2 (+ PRO2WE + PRO6),Centre-Val de Loire,1785607096.0,1965928
221,2022-04-09,PRO2 (+ PRO2WE + PRO6),Hauts-de-France,3435033764.0,3537380
222,2022-04-09,PRO3,Centre-Val de Loire,70418669.0,66240
223,2022-04-09,PRO3,Hauts-de-France,104753460.0,83040
224,2022-04-09,PRO4,Centre-Val de Loire,74580320.0,113376
225,2022-04-09,PRO4,Hauts-de-France,106620024.0,118752
226,2022-04-09,PRO5,Centre-Val de Loire,391295007.0,1211952
227,2022-04-09,PRO5,Hauts-de-France,1042829683.0,1989888
228,2022-04-09,RES1 (+ RES1WE),Centre-Val de Loire,3286346987.0,23013052
229,2022-04-09,RES1 (+ RES1WE),Hauts-de-France,9109533712.0,59294760
230,2022-04-09,RES11 (+ RES11WE),Centre-Val de Loire,2826904337.0,6860136
231,2022-04-09,RES11 (+ RES11WE),Hauts-de-France,3628283656.0,8881604
232,2022-04-09,RES2 (+ RES5),Centre-Val de Loire,14482861198.0,28845431
233,2022-04-09,RES2 (+ RES5),Hauts-de-France,24510887640.0,56278196
234,2022-04-09,RES2WE,Centre-Val de Loire,249831236.0,527836
235,2022-04-09,RES2WE,Hauts-de-France,557287311.0,1310336
236,2022-04-09,RES3,Centre-Val de Loire,228816291.0,431760
237,2022-04-09,RES3,Hauts-de-France,372468428.0,693984
238,2022-04-09,RES4,Centre-Val de Loire,447339871.0,990432
239,2022-04-09,RES4,Hauts-de-France,612906631.0,1303248
240,2022-04-10,ENT3 (+ ENT4 + ENT5),Centre-Val de Loire,75701360.0,42960
241,2022-04-10,ENT3 (+ ENT4 + ENT5),Hauts-de-France,93469156.0,41376
242,2022-04-10,PRO1 (+ PRO1WE),Centre-Val de Loire,1637500052.0,4812260
243,2022-04-10,PRO1 (+ PRO1WE),Hauts-de-France,3517412674.0,9261116
244,2022-04-10,PRO2 (+ PRO2WE + PRO6),Centre-Val de Loire,1586067949.0,1965844
245,2022-04-10,PRO2 (+ PRO2WE + PRO6),Hauts-de-France,3051335025.0,3537124
246,2022-04-10,PRO3,Centre-Val de Loire,63722677.0,66240
247,2022-04-10,PRO3,Hauts-de-France,94977356.0,83040
248,2022-04-10,PRO4,Centre-Val de Loire,71125257.0,113376
249,2022-04-10,PRO4,Hauts-de-France,101600822.0,118752
250,2022-04-10,PRO5,Centre-Val de Loire,385154135.0,1211952
251,2022-04-10,PRO5,Hauts-de-France,1028217830.0,1989892
